bacc_inst,field,field_1,field_2,current_inst,year,...6
tennessee technological university,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,tennessee technological university,2023,NA
"university of california, berkeley",engineering - chemical engineering,engineering,chemical engineering,"university of california, berkeley",2023,NA
depaul university,chemistry - other (specify) - microscopy,chemistry,other (specify) - microscopy,duke university,2023,NA
"university of central florida board of trustees, the",psychology - artificial intelligence,psychology,artificial intelligence,"university of central florida board of trustees, the",2023,NA
university of california-berkeley,social sciences - economics,social sciences,economics,NA,2023,NA
lewis and clark college,life sciences - ecology,life sciences,ecology,university of hawaii,2023,NA
colorado school of mines,physics and astronomy - quantum information science,physics and astronomy,quantum information science,university of colorado at boulder,2023,NA
texas a&m university,materials research - ceramics,materials research,ceramics,pennsylvania state univ university park,2023,NA
emerson college,stem education and learning research - technology education,stem education and learning research,technology education,NA,2023,NA
north dakota state university fargo,life sciences - biophysics,life sciences,biophysics,north dakota state university fargo,2023,NA
trustees of boston university,life sciences - biochemistry,life sciences,biochemistry,joan and sanford i. weill medical college of cornell university,2023,NA
university of denver,psychology - social psychology,psychology,social psychology,NA,2023,NA
harvard university,social sciences - economics,social sciences,economics,NA,2023,NA
yale university,engineering - mechanical engineering,engineering,mechanical engineering,massachusetts institute of technology,2023,NA
university of chicago,engineering - chemical engineering,engineering,chemical engineering,northwestern university,2023,NA
baylor university,engineering - mechanical engineering,engineering,mechanical engineering,baylor university,2023,NA
vanderbilt university,social sciences - sociology,social sciences,sociology,university of north carolina at chapel hill,2023,NA
university of new mexico,life sciences - biochemistry,life sciences,biochemistry,university of colorado at boulder,2023,NA
university of california-santa barbara,life sciences - cell biology,life sciences,cell biology,NA,2023,NA
arizona state university,engineering - artificial intelligence,engineering,artificial intelligence,carnegie-mellon university,2023,NA
northern michigan university,life sciences - ecology,life sciences,ecology,virginia polytechnic institute and state university,2023,NA
university of colorado at boulder,geosciences - other (specify) - geochronology,geosciences,other (specify) - geochronology,NA,2023,NA
northwestern university,engineering - chemical engineering,engineering,chemical engineering,northwestern university,2023,NA
fordham university,life sciences - computationally intensive research,life sciences,computationally intensive research,NA,2023,NA
princeton university,comp/is/eng - natural language processing,comp/is/eng,natural language processing,NA,2023,NA
college of william and mary,life sciences - ecology,life sciences,ecology,NA,2023,NA
university of oklahoma,engineering - biomedical engineering,engineering,biomedical engineering,university of texas at austin,2023,NA
johns hopkins university,life sciences - bioinformatics and computational biology,life sciences,bioinformatics and computational biology,harvard university,2023,NA
university of illinois at urbana-champaign,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,university of illinois at urbana-champaign,2023,NA
johns hopkins university,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",joan and sanford i. weill medical college of cornell university,2023,NA
oregon state university,physics and astronomy - plasma physics,physics and astronomy,plasma physics,university of illinois at urbana-champaign,2023,NA
university of rochester,engineering - biomedical engineering,engineering,biomedical engineering,university of rochester,2023,NA
"university of california, berkeley",life sciences - systems and molecular biology,life sciences,systems and molecular biology,NA,2023,NA
ohio state university,engineering - biomedical engineering,engineering,biomedical engineering,"university of california, davis",2023,NA
massachusetts institute of technology,"comp/is/eng - computer vision, graphics, and visualization",comp/is/eng,"computer vision, graphics, and visualization",massachusetts institute of technology,2023,NA
brown university,psychology - neuropsychology,psychology,neuropsychology,NA,2023,NA
california institute of technology,comp/is/eng - natural language processing,comp/is/eng,natural language processing,california institute of technology,2023,NA
louisiana state university,materials research - polymers,materials research,polymers,georgia institute of technology,2023,NA
university of california-los angeles,life sciences - systems and molecular biology,life sciences,systems and molecular biology,university of california-san diego,2023,NA
whitman college,comp/is/eng - computer architecture,comp/is/eng,computer architecture,NA,2023,NA
stanford university,life sciences - evolutionary biology,life sciences,evolutionary biology,harvard university,2023,NA
point loma nazarene college,materials research - physics of materials,materials research,physics of materials,"university of california, davis",2023,NA
university of pennsylvania,engineering - civil engineering,engineering,civil engineering,university of pennsylvania,2023,NA
rutgers university new brunswick,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,carnegie-mellon university,2023,NA
"university of california, berkeley",life sciences - artificial intelligence,life sciences,artificial intelligence,university of north carolina at chapel hill,2023,NA
haverford college,geosciences - chemical oceanography,geosciences,chemical oceanography,NA,2023,NA
university of virginia main campus,social sciences - economics,social sciences,economics,NA,2023,NA
columbia university,psychology - other (specify) - music cognition,psychology,other (specify) - music cognition,northeastern university,2023,NA
university of richmond,psychology - social psychology,psychology,social psychology,arizona state university,2023,NA
university of puerto rico mayaguez,stem education and learning research - engineering education,stem education and learning research,engineering education,purdue university,2023,NA
drexel university,chemistry - chemical synthesis,chemistry,chemical synthesis,temple university,2023,NA
wellesley college,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,carnegie-mellon university,2023,NA
university of illinois at urbana-champaign,engineering - chemical engineering,engineering,chemical engineering,university of chicago,2023,NA
bowdoin college,social sciences - history and philosophy of science,social sciences,history and philosophy of science,columbia university,2023,NA
georgia institute of technology,engineering - bioengineering,engineering,bioengineering,georgia institute of technology,2023,NA
university of chicago,geosciences - paleoclimate,geosciences,paleoclimate,university of michigan,2023,NA
central michigan university,physics and astronomy - nuclear physics,physics and astronomy,nuclear physics,central michigan university,2023,NA
university of chicago,psychology - cognitive neuroscience,psychology,cognitive neuroscience,NA,2023,NA
north carolina state university,engineering - other (specify) - robotics,engineering,other (specify) - robotics,university of michigan,2023,NA
georgia institute of technology,engineering - chemical engineering,engineering,chemical engineering,university of wisconsin-madison,2023,NA
university of dayton,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of michigan,2023,NA
willamette university,geosciences - physical oceanography,geosciences,physical oceanography,university of california-irvine,2023,NA
university of miami,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of texas at austin,2023,NA
truman state university,life sciences - bioinformatics and computational biology,life sciences,bioinformatics and computational biology,NA,2023,NA
tulane university,engineering - other (specify) - neural engineering,engineering,other (specify) - neural engineering,johns hopkins university,2023,NA
university of california-santa barbara,life sciences - genomics,life sciences,genomics,university of california-santa barbara,2023,NA
vanderbilt university,life sciences - cell biology,life sciences,cell biology,vanderbilt university,2023,NA
university of california-los angeles,life sciences - neurosciences,life sciences,neurosciences,university of california-los angeles,2023,NA
university of connecticut,engineering - chemical engineering,engineering,chemical engineering,northeastern university,2023,NA
university of maryland baltimore county,chemistry - computationally intensive research,chemistry,computationally intensive research,university of pennsylvania,2023,NA
university of north texas,"comp/is/eng - parallel, distributed, and cloud computing",comp/is/eng,"parallel, distributed, and cloud computing",university of north texas,2023,NA
william marsh rice university,physics and astronomy - theoretical physics,physics and astronomy,theoretical physics,william marsh rice university,2023,NA
university of maryland,engineering - mechanical engineering,engineering,mechanical engineering,carnegie-mellon university,2023,NA
north carolina state university,life sciences - organismal biology,life sciences,organismal biology,"pennsylvania state university, the",2023,NA
university of miami,geosciences - marine biology,geosciences,marine biology,university of miami,2023,NA
university of maryland,mathematical sciences - geometric analysis,mathematical sciences,geometric analysis,"university of california, berkeley",2023,NA
clarkson university,engineering - civil engineering,engineering,civil engineering,clarkson university,2023,NA
northeastern university,engineering - mechanical engineering,engineering,mechanical engineering,northeastern university,2023,NA
cornell university,engineering - bioengineering,engineering,bioengineering,cornell university,2023,NA
"university of california, berkeley",life sciences - microbial biology,life sciences,microbial biology,"university of california, berkeley",2023,NA
university of dayton,engineering - mechanical engineering,engineering,mechanical engineering,university of notre dame,2023,NA
virginia polytechnic institute & state university,"mathematical sciences - algebra, number theory, and combinatorics",mathematical sciences,"algebra, number theory, and combinatorics",university of southern california,2023,NA
university of virginia main campus,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,university of virginia main campus,2023,NA
mcgill university,life sciences - evolutionary biology,life sciences,evolutionary biology,university of massachusetts boston,2023,NA
university of wisconsin-madison,social sciences - sociology,social sciences,sociology,university of virginia main campus,2023,NA
university of florida,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of florida,2023,NA
brigham young university,mathematical sciences - applied mathematics,mathematical sciences,applied mathematics,brigham young university,2023,NA
university of british columbia,engineering - bioengineering,engineering,bioengineering,university of british columbia,2023,NA
university of washington,life sciences - neurosciences,life sciences,neurosciences,NA,2023,NA
hebrew university,mathematical sciences - applied mathematics,mathematical sciences,applied mathematics,massachusetts institute of technology,2023,NA
washington university,life sciences - other (specify) - plant biology,life sciences,other (specify) - plant biology,NA,2023,NA
occidental college,life sciences - evolutionary biology,life sciences,evolutionary biology,NA,2023,NA
washington university,mathematical sciences - artificial intelligence,mathematical sciences,artificial intelligence,brown university,2023,NA
bard college,stem education and learning research - other (specify) - computing education,stem education and learning research,other (specify) - computing education,university of washington,2023,NA
university of minnesota-twin cities,engineering - chemical engineering,engineering,chemical engineering,california institute of technology,2023,NA
george washington university,psychology - developmental psychology,psychology,developmental psychology,NA,2023,NA
oberlin college,life sciences - neurosciences,life sciences,neurosciences,brown university,2023,NA
"university of california, berkeley",life sciences - ecology,life sciences,ecology,"university of california, davis",2023,NA
california polytechnic state university,social sciences - biological anthropology,social sciences,biological anthropology,university of california-los angeles,2023,NA
brown university,social sciences - economics,social sciences,economics,NA,2023,NA
brown university,life sciences - cell biology,life sciences,cell biology,"university of california, san francisco",2023,NA
washington state university,life sciences - systems and molecular biology,life sciences,systems and molecular biology,cornell university,2023,NA
university of kansas,life sciences - genetics,life sciences,genetics,university of kansas,2023,NA
northwestern university,engineering - materials engineering,engineering,materials engineering,yale university,2023,NA
eastern kentucky university,geosciences - other (specify) - dendroclimatology,geosciences,other (specify) - dendroclimatology,university of idaho,2023,NA
amherst college,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,university of california-berkeley,2023,NA
pennsylvania state univ university park,geosciences - physical oceanography,geosciences,physical oceanography,university of washington,2023,NA
washington university,social sciences - biological anthropology,social sciences,biological anthropology,NA,2023,NA
university of maryland baltimore county,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,princeton university,2023,NA
dartmouth college,chemistry - other (specify) - materials chemistry,chemistry,other (specify) - materials chemistry,NA,2023,NA
mount holyoke college,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,university of michigan,2023,NA
university of washington,life sciences - biochemistry,life sciences,biochemistry,NA,2023,NA
purdue university,engineering - materials engineering,engineering,materials engineering,purdue university,2023,NA
university of south florida,life sciences - microbial biology,life sciences,microbial biology,university of south florida,2023,NA
united states air force academy,psychology - other (specify) - health,psychology,other (specify) - health,university of california-los angeles,2023,NA
hope college,engineering - biomedical engineering,engineering,biomedical engineering,"university of california, davis",2023,NA
virginia polytechnic institute and state university,engineering - mechanical engineering,engineering,mechanical engineering,virginia polytechnic institute and state university,2023,NA
purdue university,engineering - biomedical engineering,engineering,biomedical engineering,carnegie-mellon university,2023,NA
regents of the university of michigan - ann arbor,materials research - electronic materials,materials research,electronic materials,regents of the university of michigan - ann arbor,2023,NA
boston university,life sciences - ecology,life sciences,ecology,university of california-santa cruz,2023,NA
duke university,comp/is/eng - bioinformatics,comp/is/eng,bioinformatics,joan and sanford i. weill medical college of cornell university,2023,NA
university of wyoming,geosciences - hydrology,geosciences,hydrology,"board of regents, nshe, obo university of nevada, reno",2023,NA
clarkson university,engineering - chemical engineering,engineering,chemical engineering,clarkson university,2023,NA
cornell university,chemistry - chemistry of life processes,chemistry,chemistry of life processes,harvard university,2023,NA
"suny, university at buffalo",engineering - civil engineering,engineering,civil engineering,"suny, university at buffalo",2023,NA
indiana university,comp/is/eng - human computer interaction,comp/is/eng,human computer interaction,indiana university,2023,NA
university of richmond,"physics and astronomy - atomic, molecular, and optical physics",physics and astronomy,"atomic, molecular, and optical physics",university of richmond,2023,NA
university of wisconsin-la crosse,engineering - mechanical engineering,engineering,mechanical engineering,university of colorado at boulder,2023,NA
university of utah,geosciences - magnetospheric physics,geosciences,magnetospheric physics,university of oregon,2023,NA
university of tennessee knoxville,life sciences - other (specify) - microbial ecology,life sciences,other (specify) - microbial ecology,michigan state university,2023,NA
regents of the university of michigan - ann arbor,"mathematical sciences - algebra, number theory, and combinatorics",mathematical sciences,"algebra, number theory, and combinatorics",regents of the university of michigan - ann arbor,2023,NA
portland state university,social sciences - geography,social sciences,geography,portland state university,2023,NA
university of pennsylvania,life sciences - neurosciences,life sciences,neurosciences,NA,2023,NA
university of washington,psychology - cognitive neuroscience,psychology,cognitive neuroscience,university of washington,2023,NA
university of california-san diego,comp/is/eng - robotics,comp/is/eng,robotics,carnegie-mellon university,2023,NA
university of washington,life sciences - genomics,life sciences,genomics,university of washington,2023,NA
columbia university,physics and astronomy - theoretical physics,physics and astronomy,theoretical physics,columbia university,2023,NA
university of missouri-columbia,engineering - chemical engineering,engineering,chemical engineering,university of missouri-columbia,2023,NA
brown university,geosciences - chemical oceanography,geosciences,chemical oceanography,NA,2023,NA
california institute of technology,life sciences - bioinformatics and computational biology,life sciences,bioinformatics and computational biology,harvard university,2023,NA
university of chicago,comp/is/eng - quantum information science,comp/is/eng,quantum information science,university of chicago,2023,NA
georgia institute of technology,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,georgia institute of technology,2023,NA
university of california san diego,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,university of california san diego,2023,NA
georgia institute of technology,engineering - biomedical engineering,engineering,biomedical engineering,georgia institute of technology,2023,NA
california polytechnic state university,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",university of minnesota-twin cities,2023,NA
california institute of technology,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,california institute of technology,2023,NA
west virginia university,life sciences - microbial biology,life sciences,microbial biology,west virginia university,2023,NA
kalamazoo college,physics and astronomy - condensed matter physics,physics and astronomy,condensed matter physics,kalamazoo college,2023,NA
montana state university,engineering - industrial engineering and operations research,engineering,industrial engineering and operations research,university of washington,2023,NA
duke university,life sciences - systems and molecular biology,life sciences,systems and molecular biology,princeton university,2023,NA
university of minnesota-twin cities,life sciences - microbial biology,life sciences,microbial biology,university of washington,2023,NA
columbia university,life sciences - ecology,life sciences,ecology,"university of california, berkeley",2023,NA
suny at binghamton,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",yale university,2023,NA
west virginia wesleyan college,life sciences - environmental biology,life sciences,environmental biology,case western reserve university,2023,NA
southern methodist university,social sciences - economics,social sciences,economics,NA,2023,NA
harvard university,mathematical sciences - applied mathematics,mathematical sciences,applied mathematics,university of california-berkeley,2023,NA
montana state university,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of colorado at boulder,2023,NA
regents of the university of michigan - ann arbor,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,"university of california, berkeley",2023,NA
"birla institute of technology and science, pilani",comp/is/eng - bioinformatics,comp/is/eng,bioinformatics,NA,2023,NA
"university of california, berkeley",life sciences - ecology,life sciences,ecology,university of california-santa cruz,2023,NA
"university of california, berkeley",life sciences - genomics,life sciences,genomics,stanford leland junior university,2023,NA
pomona college,psychology - social psychology,psychology,social psychology,pomona college,2023,NA
duke university,life sciences - microbial biology,life sciences,microbial biology,princeton university,2023,NA
university of mississippi,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of mississippi,2023,NA
university of missouri-columbia,life sciences - systems and molecular biology,life sciences,systems and molecular biology,cornell university,2023,NA
harvard university,"mathematical sciences - algebra, number theory, and combinatorics",mathematical sciences,"algebra, number theory, and combinatorics",harvard university,2023,NA
university of kansas,life sciences - genetics,life sciences,genetics,university of wisconsin-madison,2023,NA
university of puerto rico mayaguez,life sciences - physiology,life sciences,physiology,university of pittsburgh,2023,NA
university of texas at austin,comp/is/eng - bioinformatics,comp/is/eng,bioinformatics,university of texas at austin,2023,NA
denison university,life sciences - microbial biology,life sciences,microbial biology,university of wisconsin-madison,2023,NA
university of puerto rico mayaguez,engineering - materials engineering,engineering,materials engineering,university of puerto rico mayaguez,2023,NA
harvey mudd college,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,cornell university,2023,NA
university of texas at austin,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,"university of california, berkeley",2023,NA
univeristy of tennessee,"chemistry - chemical theory, models, and computational methods",chemistry,"chemical theory, models, and computational methods",yale university,2023,NA
new college of florida,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,new college of florida,2023,NA
university of california san diego,life sciences - biochemistry,life sciences,biochemistry,university of pennsylvania,2023,NA
university of texas at austin,physics and astronomy - particle physics,physics and astronomy,particle physics,university of texas at austin,2023,NA
michigan state university,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,michigan state university,2023,NA
university of illinois,materials research - polymers,materials research,polymers,colorado school of mines,2023,NA
university of florida,life sciences - ecology,life sciences,ecology,NA,2023,NA
"university of california, berkeley",engineering - biomedical engineering,engineering,biomedical engineering,california institute of technology,2023,NA
university of california-santa barbara,physics and astronomy - quantum information science,physics and astronomy,quantum information science,university of california-santa barbara,2023,NA
northeastern university,life sciences - microbial biology,life sciences,microbial biology,the scripps research institute,2023,NA
ohio state university,engineering - mechanical engineering,engineering,mechanical engineering,ohio state university,2023,NA
"university of maryland, college park",social sciences - sociology,social sciences,sociology,"university of maryland, college park",2023,NA
university of north dakota main campus,physics and astronomy - other (specify) - space physics,physics and astronomy,other (specify) - space physics,NA,2023,NA
university of texas at austin,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,university of texas at austin,2023,NA
cornell university,engineering - mechanical engineering,engineering,mechanical engineering,north carolina state university,2023,NA
massachusetts institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,massachusetts institute of technology,2023,NA
university of maryland,life sciences - biochemistry,life sciences,biochemistry,university of maryland,2023,NA
california institute of technology,geosciences - geophysics,geosciences,geophysics,princeton university,2023,NA
cornell university,engineering - mechanical engineering,engineering,mechanical engineering,NA,2023,NA
regents of the university of michigan - ann arbor,engineering - electrical and electronic engineering,engineering,electrical and electronic engineering,regents of the university of michigan - ann arbor,2023,NA
university of california san diego,life sciences - neurosciences,life sciences,neurosciences,university of california san diego,2023,NA
johns hopkins university,engineering - bioengineering,engineering,bioengineering,william marsh rice university,2023,NA
university of wisconsin-madison,physics and astronomy - astronomy and astrophysics,physics and astronomy,astronomy and astrophysics,university of wisconsin-madison,2023,NA
university of wisconsin-milwaukee,social sciences - communications,social sciences,communications,university of michigan-ann arbor,2023,NA
university of chicago,life sciences - ecology,life sciences,ecology,george washington university,2023,NA
university of notre dame,engineering - chemical engineering,engineering,chemical engineering,california institute of technology,2023,NA
university of minnesota-twin cities,engineering - materials engineering,engineering,materials engineering,university of minnesota-twin cities,2023,NA
"university of california, berkeley","mathematical sciences - algebra, number theory, and combinatorics",mathematical sciences,"algebra, number theory, and combinatorics","university of california, berkeley",2023,NA
new york university,physics and astronomy - quantum information science,physics and astronomy,quantum information science,stanford university,2023,NA
university of california - merced,engineering - environmental engineering,engineering,environmental engineering,university of california - merced,2023,NA
johns hopkins university,engineering - bioengineering,engineering,bioengineering,massachusetts institute of technology,2023,NA
university of tennessee chattanooga,life sciences - evolutionary biology,life sciences,evolutionary biology,vanderbilt university,2023,NA
stanford university,life sciences - ecology,life sciences,ecology,princeton university,2023,NA
auburn university,engineering - chemical engineering,engineering,chemical engineering,auburn university,2023,NA
university of california-irvine,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,university of colorado at boulder,2023,NA
carleton college,geosciences - marine biology,geosciences,marine biology,university of washington,2023,NA
yale university,geosciences - climate and large-scale atmospheric dynamics,geosciences,climate and large-scale atmospheric dynamics,yale university,2023,NA
the university of central florida board of trustees,life sciences - microbial biology,life sciences,microbial biology,NA,2023,NA
william marsh rice university,engineering - biomedical engineering,engineering,biomedical engineering,NA,2023,NA
san francisco state university,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,university of california-santa cruz,2023,NA
california institute of technology,comp/is/eng - quantum information science,comp/is/eng,quantum information science,california institute of technology,2023,NA
wesleyan university,stem education and learning research - science education,stem education and learning research,science education,wesleyan university,2023,NA
university of florida,engineering - chemical engineering,engineering,chemical engineering,university of florida,2023,NA
massachusetts institute of technology,physics and astronomy - quantum information science,physics and astronomy,quantum information science,massachusetts institute of technology,2023,NA
university of north carolina greensboro,"chemistry - chemical structure, dynamics, and mechanism",chemistry,"chemical structure, dynamics, and mechanism",university of north carolina greensboro,2023,NA
bates college,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",northwestern university,2023,NA
university of michigan,physics and astronomy - plasma physics,physics and astronomy,plasma physics,university of michigan,2023,NA
california institute of technology,engineering - energy engineering,engineering,energy engineering,california institute of technology,2023,NA
duke university,psychology - social psychology,psychology,social psychology,NA,2023,NA
william marsh rice university,engineering - chemical engineering,engineering,chemical engineering,william marsh rice university,2023,NA
university of virginia main campus,engineering - biomedical engineering,engineering,biomedical engineering,boston university,2023,NA
princeton university,physics and astronomy - theoretical physics,physics and astronomy,theoretical physics,NA,2023,NA
harvard university,social sciences - economics,social sciences,economics,NA,2023,NA
hamilton college,chemistry - chemical measurement and imaging,chemistry,chemical measurement and imaging,university of california-los angeles,2023,NA
trustees of boston university,life sciences - neurosciences,life sciences,neurosciences,johns hopkins university,2023,NA
princeton university,comp/is/eng - robotics,comp/is/eng,robotics,princeton university,2023,NA
university of california-los angeles,engineering - civil engineering,engineering,civil engineering,university of california-los angeles,2023,NA
suny at buffalo,engineering - biomedical engineering,engineering,biomedical engineering,university of rochester,2023,NA
colorado college,life sciences - ecology,life sciences,ecology,university of wisconsin-madison,2023,NA
university of north carolina at chapel hill,geosciences - biological oceanography,geosciences,biological oceanography,university of north carolina at chapel hill,2023,NA
georgia institute of technology,engineering - chemical engineering,engineering,chemical engineering,university of pittsburgh,2023,NA
azusa pacific university,chemistry - other (specify) - analytical,chemistry,other (specify) - analytical,vanderbilt university,2023,NA
"university of maryland, college park",engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,"university of maryland, college park",2023,NA
massachusetts institute of technology,comp/is/eng - artificial intelligence,comp/is/eng,artificial intelligence,massachusetts institute of technology,2023,NA
"university of california, berkeley",life sciences - microbial biology,life sciences,microbial biology,NA,2023,NA
vanderbilt university,engineering - bioengineering,engineering,bioengineering,university of pennsylvania,2023,NA
university of southern california,engineering - quantum information science,engineering,quantum information science,university of southern california,2023,NA
"university of california, berkeley",geosciences - climate and large-scale atmospheric dynamics,geosciences,climate and large-scale atmospheric dynamics,university of washington,2023,NA
syracuse university,engineering - chemical engineering,engineering,chemical engineering,columbia university,2023,NA
wake forest university,geosciences - biogeochemistry,geosciences,biogeochemistry,university of texas at austin,2023,NA
louisiana state university,chemistry - chemical synthesis,chemistry,chemical synthesis,louisiana state university,2023,NA
colorado mesa university,engineering - biomedical engineering,engineering,biomedical engineering,university of vermont & state agricultural college,2023,NA
northwestern university,materials research - electronic materials,materials research,electronic materials,northwestern university,2023,NA
cornell university,physics and astronomy - theoretical physics,physics and astronomy,theoretical physics,princeton university,2023,NA
williams college,geosciences - other (specify) - paleomagnetism,geosciences,other (specify) - paleomagnetism,stanford university,2023,NA
university of california-los angeles,life sciences - developmental biology,life sciences,developmental biology,harvard university,2023,NA
pomona college,physics and astronomy - plasma physics,physics and astronomy,plasma physics,pomona college,2023,NA
university of rhode island,geosciences - marine biology,geosciences,marine biology,NA,2023,NA
university of california-los angeles,psychology - social psychology,psychology,social psychology,NA,2023,NA
brown university,psychology - developmental psychology,psychology,developmental psychology,northeastern university,2023,NA
virginia commonwealth university,engineering - biomedical engineering,engineering,biomedical engineering,virginia commonwealth university,2023,NA
stony brook university,geosciences - marine biology,geosciences,marine biology,NA,2023,NA
university of illinois at urbana-champaign,chemistry - chemistry of life processes,chemistry,chemistry of life processes,university of illinois at urbana-champaign,2023,NA
university of california-riverside,materials research - chemistry of materials,materials research,chemistry of materials,university of california-irvine,2023,NA
california state university san marcos corporation,life sciences - evolutionary biology,life sciences,evolutionary biology,university of north carolina greensboro,2023,NA
university of california san diego,life sciences - neurosciences,life sciences,neurosciences,university of pennsylvania,2023,NA
university of the pacific,mathematical sciences - computational mathematics,mathematical sciences,computational mathematics,"university of california, davis",2023,NA
northwestern university,"physics and astronomy - atomic, molecular, and optical physics",physics and astronomy,"atomic, molecular, and optical physics",northwestern university,2023,NA
university of new mexico,life sciences - other (specify) - biological and biomedical sciences,life sciences,other (specify) - biological and biomedical sciences,harvard university,2023,NA
university of wisconsin-madison,life sciences - ecology,life sciences,ecology,NA,2023,NA
california polytechnic state university,comp/is/eng - machine learning,comp/is/eng,machine learning,regents of the university of michigan - ann arbor,2023,NA
university of tampa,geosciences - biological oceanography,geosciences,biological oceanography,virginia polytechnic institute & state university,2023,NA
colorado state university,stem education and learning research - science education,stem education and learning research,science education,colorado state university,2023,NA
harvard university,comp/is/eng - quantum information science,comp/is/eng,quantum information science,harvard university,2023,NA
carnegie-mellon university,comp/is/eng - computer systems and embedded systems,comp/is/eng,computer systems and embedded systems,carnegie-mellon university,2023,NA
northwestern university,materials research - polymers,materials research,polymers,northwestern university,2023,NA
university of arizona,life sciences - other (specify) - molecular and cellular biology,life sciences,other (specify) - molecular and cellular biology,university of arizona,2023,NA
regents of the university of michigan - ann arbor,social sciences - sociology,social sciences,sociology,university of texas at austin,2023,NA
washington university,life sciences - genomics,life sciences,genomics,NA,2023,NA
the college of new jersey,materials research - chemistry of materials,materials research,chemistry of materials,the college of new jersey,2023,NA
university of illinois at urbana-champaign,engineering - mechanical engineering,engineering,mechanical engineering,university of illinois at urbana-champaign,2023,NA
university of california-santa barbara,geosciences - atmospheric chemistry,geosciences,atmospheric chemistry,university of california-riverside,2023,NA
university of texas at san antonio,life sciences - cell biology,life sciences,cell biology,duke university,2023,NA
"pennsylvania state university, the",chemistry - chemical synthesis,chemistry,chemical synthesis,university of delaware,2023,NA
northwestern university,social sciences - economics,social sciences,economics,northwestern university,2023,NA
university of oklahoma norman campus,geosciences - physical and dynamic meteorology,geosciences,physical and dynamic meteorology,university of oklahoma norman campus,2023,NA
university of florida,social sciences - archaeology,social sciences,archaeology,NA,2023,NA
massachusetts institute of technology,engineering - mechanical engineering,engineering,mechanical engineering,stanford university,2023,NA
princeton university,engineering - chemical engineering,engineering,chemical engineering,princeton university,2023,NA
university of washington,engineering - biomedical engineering,engineering,biomedical engineering,university of washington,2023,NA
hampshire college,social sciences - communications,social sciences,communications,NA,2023,NA
brandeis university,life sciences - microbial biology,life sciences,microbial biology,rockefeller university,2023,NA
college of william and mary,mathematical sciences - mathematical biology,mathematical sciences,mathematical biology,joan and sanford i. weill medical college of cornell university,2023,NA
"university of california, berkeley",social sciences - economics,social sciences,economics,"university of california, berkeley",2023,NA
virginia polytechnic institute & state university,"chemistry - macromolecular, supramolecular, and nanochemistry",chemistry,"macromolecular, supramolecular, and nanochemistry",virginia polytechnic institute & state university,2023,NA
pennsylvania state univ university park,engineering - aeronautical and aerospace engineering,engineering,aeronautical and aerospace engineering,princeton university,2023,NA
willamette university,stem education and learning research - mathematics education,stem education and learning research,mathematics education,university of nebraska-lincoln,2023,NA
"university of california, berkeley",psychology - developmental psychology,psychology,developmental psychology,university of oregon,2023,NA
california state university-long beach,life sciences - genetics,life sciences,genetics,cornell university,2023,NA
university of california-berkeley,"physics and astronomy - atomic, molecular, and optical physics",physics and astronomy,"atomic, molecular, and optical physics",massachusetts institute of technology,2023,NA
eckerd college,geosciences - marine biology,geosciences,marine biology,NA,2023,NA
university of colorado at boulder,life sciences - ecology,life sciences,ecology,university of california-davis,2023,NA
